ᴳᵁᴵᴰᴼ;0;1;1
µBio;320;305;26
µilad;0;2;1
0__;1;3;3
0_o;0;1;1
0_o;0;1;1
0_o;0;2;1
0_o;0;1;0
0_o;0;1;1
0_o;0;1;2
000;1;2;0
000;0;1;0
0000;0;0;0
00010000;13;6;7
001;137;157;11
001;0;1;0
007;0;1;1
007;0;2;2
007jet;0;0;0
00freedom;0;1;1
00noOne;0;1;1
010;0;3;5
0100110010101;77;54;15
01001111;7;29;3
010110110101;0;0;0
0124816;16;25;11
01AutoMonkey;0;2;1
01d;0;5;4
01es;14;33;10
01walid;0;0;0
02Anant;2;2;2
02strich;0;1;2
03B;0;2;1
03it49;0;0;0
03Usr;0;0;0
05WRXSTi;0;2;4
07hc420;0;1;0
08Hawkeye;15;11;7
09-45;0;1;1
0atman;51;13;8
0b10011;0;1;0
0bfus;0;6;6
0bj3ct.m3th0d;0;9;5
0bserver07;0;0;0
0bytes;0;3;2
0concern;0;1;0
0cool;20;24;6
0dd_b1t;31;16;6
0fnt;17;25;8
0GiS0;0;1;1
0l33l;0;3;3
0m3r;0;0;0
0m4r;23;13;7
0NLY777;0;1;1
0nwards;0;0;0
0pcl;8;12;8
0ph3l14;0;1;0
0plus1;76;74;14
0rca;0;0;0
0scar;65;54;16
0sh;4;4;1
0sumgain;7;11;9
0SX;30;21;7
0tar0gz;0;0;2
0v3rth3d4wn;0;0;0
0wl;0;1;0
0x1b;0;0;1
0x1mason;4;4;6
0x24a537r9;4;5;3
0x2D9A3;42;34;13
0x3333;0;1;4
0x434D53;0;5;3
0x44;0;0;0
0x49D1;77;65;14
0x5f3759df;0;0;0
0x69;0;1;1
0x6adb015;28;34;12
0x808080;0;8;5
0x808080;0;1;0
0x89;25;24;11
0x8b4df00d;0;3;1
0x8badf00d;11;6;6
0x90;5;11;6
0x90;2;4;5
0xab3d;24;6;5
0xAF;2;4;2
0xAX;54;113;10
0xB33F;0;1;1
0xBAADF00D;0;0;0
0xbaadf00d;0;1;1
0xbadbeef;0;1;2
0xbadf00d;6;9;3
0xbeefdead;0;0;0
0xC0000022L;0;0;0
0xC0DEFACE;47;34;15
0xCAFEBABE;14;33;6
0xced;33;43;14
0xception;0;0;0
0xDE4E15B;12;8;4
0xDEAD BEEF;30;29;8
0xDEADBEEF;0;0;0
0xDEADBEEF;8;17;5
0xDEFACE;0;2;3
0xe9;0;1;2
0xF;0;1;1
0xf3f;0;0;0
0xFaCeB00c;0;4;3
0xfaded;0;1;2
0xfe;9;42;9
0xFF;0;1;1
0xFF;64;61;24
0xFF;0;1;1
0xFF;0;1;0
0xff0000;17;7;6
0xff00ff;0;1;0
0xG;0;1;0
0xHenry;3;4;6
0xhiryuu;0;1;0
0XO;0;1;2
0xSeb;0;2;1
0zkar;0;1;0
1'''';3;7;3
1.01pm;20;12;15
1.21 gigawatts;6;10;6
1.618;0;10;3
1_am_Jack;0;0;0
10 cls;1;2;2
1000 Needles;0;1;1
1000i1;0;5;5
1001010101;0;2;2
10010110;0;1;0
100grams;0;0;0
100KG;0;1;2
100r;21;18;7
100rabh;44;57;9
101010110101;30;24;22
1015;0;1;2
101V;0;0;0
1073x;0;0;0
1077;1;6;7
108;7;16;16
109221793;157;87;8
10goto10;0;1;0
10goto10;5;18;9
10ToedSloth;27;14;8
10us;1;1;4
10wattmindtrip;0;0;0
1100101;0;0;0
1101;0;1;0
1101;0;1;0
1101;0;1;0
1101;0;1;0
1101;0;1;0
1101;0;1;0
111;0;1;0
1110;39;21;6
1111000110;0;0;0
111111;1;2;3
1111161171159459134;3;1;3
1-14x0r;0;0;0
11helen;0;1;3
11Monkeys;0;4;3
11to3;0;1;0
12 Dogs;0;1;1
123;0;4;2
123;0;2;2
123;0;1;0
123;0;1;1
123;0;1;0
123;0;1;1
1-2-3;0;1;2
123 456 789 0;21;17;10
1234;0;0;1
12345;19;8;4
12345;0;0;0
12345;5;9;7
1234sdf;0;1;0
123abc;0;5;3
123Developer;6;30;9
123Ex;0;2;3
123Ex;0;6;3
123hal321;10;8;5
123kit;0;1;1
123quatre;0;1;0
123quatre;0;1;0
12983;0;3;3
12ChocolateBrownies;0;0;0
12d3;0;3;2
12may;0;1;2
12mrsaturns;0;1;1
131;1;1;2
131nary;0;1;2
1337;0;1;3
133794m3r;2;3;5
1337c0d3r;0;8;2
1337holiday;36;20;5
1337ingDisorder;2;1;2
13470;0;0;0
135498;4;3;1
1355;12;3;4
